product_type,product_name,product_price,product_brand,product_model,product_mousemodel,product_lr,product_buttons,product_sensor,product_dpi,product_connection,product_os,product_dimensions,product_color
Muizen,"Trust Yvi Draadloze Muis Blauw","16,99","Trust","19663","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Blauw"
Gaming muizen,"Logitech G300s","39,-","Logitech G","910-004346","Full-size","Linkshandig, Rechtshandig","9 knoppen","Optisch","None","Bedraad","Ja","7,2 cm x 11,3 cm x 4 cm","Zwart"
Gaming muizen,"Razer Naga Chroma","89,-","Razer","129387","None","Rechtshandig","19 knoppen","Laser","None","Bedraad","Ja","7,5 cm x 11,9 cm x 4,3 cm","Zwart"
Muizen,"Trust Evo Draadloze Muis","34,99","Trust","21241","Full-size","Rechtshandig","8 knoppen","Optisch","None","Draadloos","Nee","8,2 cm x 4,6 cm x 12,5 cm","Zwart"
Muizen,"Microsoft Arc Touch Mouse Surface Edition Grijs","89,99","Microsoft","CZV-00002","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","5,7 cm x 13 cm x 1,45 cm","Grijs"
Gaming muizen,"Logitech G603 Lightspeed Wireless Gaming Mouse","79,99","Logitech G","910-005102","None","Linkshandig, Rechtshandig","6 knoppen","Laser","None","Draadloos","Ja","5 cm x 14 cm x 20 cm","Zwart"
Muizen,"Trust Yvi Draadloze Muis Flower","17,99","Trust","19521","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Wit, Blauw"
Muizen,"Trust MaxTrack Mouse","19,99","Trust","17178","Full-size","Rechtshandig","5 knoppen","Laser","None","Bedraad","Nee","7,9 cm x 13 cm x 4,2 cm","Zwart, Zilver"
Gaming muizen,"Corsair Harpoon RGB","32,99","Corsair","CH-9301011-EU","None","Rechtshandig","6 knoppen","Optisch","None","Bedraad","Ja","6,83 cm x 11,15 cm x 4,04 cm","Rood"
Muizen,"HP Wireless Mouse X3000 Wit","21,99","HP","N4G64AA","Compact","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","9,5 cm x 5,7 cm x 3,9 cm","Wit"
Gaming muizen,"Trust GXT 25","19,99","Trust","18307","Full-size","Rechtshandig","7 knoppen","Optisch","None","Bedraad","Ja","7,7 cm x 11,5 cm x 3,9 cm","Zwart"
Muizen,"Logitech M535 Bluetooth Muis Blauw","49,99","Logitech","910-004531","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","6,11 cm x 10,05 cm x 3,3 cm","Blauw"
Muizen,"HP Spectre Bluetooth Muis Zilver","44,99","HP","1AM58AA","Full-size","Linkshandig, Rechtshandig","2 knoppen","Optisch","None","Draadloos","Nee","6,5 cm x 12,13 cm x 3 cm","Zilver"
Muizen,"Trust Yvi Draadloze Muis Rood","16,99","Trust","19522","Compact","Linkshandig, Rechtshandig","4 knoppen","Optisch","None","Draadloos","Nee","5,6 cm x 9,5 cm x 3,9 cm","Rood"
Gaming muizen,"Trust GXT 130","35,99","Trust","20687","None","Rechtshandig","9 knoppen","Optisch","None","Draadloos","Ja","8,1 cm x 11,9 cm x 4,2 cm","Rood"
Gaming muizen,"Corsair Sabre RGB Zwart","49,99","Corsair","CH-9303011-EU","None","Rechtshandig","8 knoppen","Optisch","None","Bedraad","Ja","8 cm x 12,4 cm x 3,8 cm","Zwart"
Muizen,"Trust MaxTrack Wireless Mini Mouse","17,99","Trust","17177","Compact","Rechtshandig","6 knoppen","Laser","None","Draadloos","Nee","7,9 cm x 13 cm x 4,2 cm","Zwart, Zilver"
Muizen,"Logitech Wireless Mouse M185","24,99","Logitech","910-002235","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","6 cm x 9,9 cm x 3,9 cm","Grijs"
Muizen,"HP Z3700 Draadloze Muis Zilver","22,99","HP","X7Q44AA","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","6 cm x 10,1 cm x 2,53 cm","Goud"
Muizen,"Microsoft Sculpt Ergonomische Muis","52,99","Microsoft","L6V-00003","Full-size","Rechtshandig","7 knoppen","Laser","None","Draadloos","Nee","5,67 cm x 9,82 cm x 9,82 cm","Zwart"
Muizen,"HP Z3700 Draadloze Muis Wit","22,99","HP","V0L80AA","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","6 cm x 10,1 cm x 2,53 cm","Wit"
Muizen,"Logitech M330 Silent Draadloze Muis Blauw","32,99","Logitech","910-004910","Compact","Linkshandig, Rechtshandig","3 knoppen","Optisch","None","Draadloos","Nee","9,9 cm x 3,9 cm x 6 cm","Blauw"
Muizen,"HP Z3700 Draadloze Muis Blauw","22,99","HP","V0L81AA","Full-size","Linkshandig, Rechtshandig","2 knoppen","Laser","None","Draadloos","Nee","6 cm x 10,1 cm x 2,53 cm","Blauw"
Muizen,"Trust EasyClick Muis Zwart","34,99","Trust","16535","Full-size","Rechtshandig","5 knoppen","Optisch","None","Bedraad","Nee","4,6 cm x 12,8 cm x 4,6 cm","Zwart, Zilver"
