product_type,product_name,product_price,product_brand,product_model,product_screen,product_screenres,product_cpu,product_graphicscard,product_graphicsmemory,product_memory,product_storage,product_dimensions,product_weight
Laptops QWERTY,"Acer Aspire ES1-732-C202","449,-","Acer","NX.GH4EH.006","17,3 inch","1600 x 900 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","8 GB","1 TB HDD","42,3 cm x 28,9 cm x 2,73 cm","2,8 kg"
Laptops QWERTY,"Lenovo Ideapad 720S-13IKB 81A80052MH","1.099,-","Lenovo","81A80052MH","13,3 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","256 GB SSD","30,59 cm x 21,3 cm x 1,36 cm","1,14 kg"
Laptops QWERTY,"Apple MacBook Pro 13'' Touch Bar (2017) MPXV2N/A Space Gray","1.962,95","Apple","MPXV2N/A","13,3 inch","2560 x 1600 pixels","Intel Core i5 7267U","Intel Iris Plus Graphics 650","None","8 GB","256 GB SSD","30,41 cm x 21,24 cm x 1,49 cm","1,37 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IKBN 80XL02NPMH","599,-","Lenovo","80XL02NPMH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"HP 15-bw090nd","399,-","HP","2FM89EA#ABH","15,6 inch","1366 x 768 pixels","AMD A6 9220","AMD Radeon R4","None","8 GB","128 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"HP Pavilion 15-cc593nd","849,-","HP","2GR85EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","NVIDIA GeForce 940MX","2000 MB","8 GB","128 GB SSD + 1 TB HDD","37,8 cm x 25,21 cm x 1,99 cm","1,91 kg"
Laptops QWERTY,"HP 15-bw091nd","599,-","HP","2FM90EA#ABH","15,6 inch","1920 x 1080 pixels","AMD A9 9420","AMD Radeon 520","2000 MB","8 GB","128 GB SSD + 1 TB HDD","38 cm x 25,38 cm x 2,38 cm","2,1 kg"
Laptops QWERTY,"Lenovo Ideapad 320-14IKBN 80XK00XBMH","569,-","Lenovo","80XK00XBMH","14 inch","1366 x 768 pixels","Intel Core i5 7200U","Intel HD Graphics 620","2000 MB","8 GB","128 GB SSD","33,83 cm x 24,99 cm x 2,27 cm","2 kg"
Laptops QWERTY,"HP 15-bs591nd","699,-","HP","2GR60EA#ABH","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","2000 MB","8 GB","256 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"Apple MacBook Air 13,3'' (2017) MQD32N/A","999,-","Apple","MQD32N/A","13,3 inch","1440 x 900 pixels","Intel Core i5 5300U","Intel HD Graphics 6000","None","8 GB","128 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"Apple MacBook Air 13,3'' 8/128 GB - 1,6 GHZ","969,-","Apple","MMGF2N/A","13,3 inch","1440 x 900 pixels","Intel Core i5 5250U","Intel HD Graphics 6000","None","8 GB","128 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"Lenovo Ideapad 320-15IAP 80XR00CKMH","349,-","Lenovo","80XR00CKMH","15,6 inch","1920 x 1080 pixels","Intel Celeron N3350","Intel HD Graphics 500","None","4 GB","128 GB SSD","37,8 cm x 26 cm x 2,29 cm","2,2 kg"
Laptops QWERTY,"Lenovo Yoga 520-14IKB 80X800NQMH","849,-","Lenovo","80X800NQMH","14 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","32,8 cm x 22,9 cm x 1,9 cm","1,7 kg"
Laptops QWERTY,"HP 15-bw094nd","399,-","HP","2LE36EA#ABH","15,6 inch","1366 x 768 pixels","AMD A6 9220","AMD Radeon R4","None","8 GB","128 GB SSD","38 cm x 25,38 cm x 2,38 cm","1,91 kg"
Laptops QWERTY,"HP Stream 14-ax010nd","299,-","HP","Z5D31EA#ABH","14 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","4 GB","32 GB Flash","33,7 cm x 22,6 cm x 1,79 cm","1,44 kg"
Laptops QWERTY,"Lenovo Yoga 520-14IKB 80X800LAMH","499,-","Lenovo","80X800LAMH","14 inch","1920 x 1080 pixels","Intel Pentium 4415U","Intel HD Graphics 610","None","4 GB","128 GB SSD","22,9 cm x 32,8 cm x 1,9 cm","1,7 kg"
Laptops QWERTY,"Acer Aspire 7 A715-71G-76Z5","1.149,-","Acer","NX.GP8EH.014","15,6 inch","1920 x 1080 pixels","Intel Core i7 7700HQ","NVIDIA GeForce GTX 1050","2000 MB","16 GB","256 GB SSD + 1 TB HDD","38,16 cm x 26,28 cm x 2,39 cm","2,35 kg"
Laptops QWERTY,"Lenovo Yoga 300-11IBR 80M100SPMH","219,-","Lenovo","80M100SPMH","11,6 inch","1366 x 768 pixels","Intel Celeron N3060","Intel HD Graphics 400","None","2 GB","32 GB Flash","29,9 cm x 20,9 cm x 2,18 cm","1,39 kg"
Laptops QWERTY,"Apple MacBook Air 13'' (2017) MQD42N/A","1.266,-","Apple","MQD42N/A","13,3 inch","1440 x 900 pixels","Intel Core i5 5300U","Intel HD Graphics 6000","None","8 GB","256 GB SSD","32,5 cm x 22,7 cm x 1,7 cm","1,35 kg"
Laptops QWERTY,"Asus ZenBook UX410UA-GV262T","749,-","Asus","90NB0DL1-M05040","14 inch","1920 x 1080 pixels","Intel Core i3 7100U","Intel HD Graphics 620","None","8 GB","128 GB SSD","32,3 cm x 22,3 cm x 1,9 cm","1,4 kg"
Laptops QWERTY,"HP ProBook 450 G4 i5-8gb-256ssd","899,-","HP","748194","15,6 inch","1920 x 1080 pixels","Intel Core i5 7200U","Intel HD Graphics 620","None","8 GB","256 GB SSD","38,2 cm x 26,3 cm x 2,44 cm","2,04 kg"
Laptops QWERTY,"Lenovo Yoga 510-14ISK 80S700FAMH","699,-","Lenovo","80S700FAMH","14 inch","1920 x 1080 pixels","Intel Core i3 6006U","Intel HD Graphics 520","None","8 GB","256 GB SSD","23,2 cm x 33,6 cm x 2,09 cm","1,73 kg"
Laptops QWERTY,"Asus ZenBook UX410UA-GV190T","979,-","Asus","90NB0DL1-M04970","14 inch","1920 x 1080 pixels","Intel Core i7 7500U","Intel HD Graphics 620","None","8 GB","128 GB SSD + 500 GB HDD","32,3 cm x 22,3 cm x 1,9 cm","1,4 kg"
